,Data i miejsce urodzenia:,Funkcja w Sejmie:,Klub/koło:,Liczba głosów:,Lista:,Okręg wyborczy:,Staż parlamentarny:,Strona WWW:,Tytuł/stopień naukowy:,Ukończona szkoła:,Wybrany dnia:,Wygaśnięcie mandatu:,Wykształcenie:,Zawód:,imie
296,10-06-1961,,Klub Parlamentarny Platforma Obywatelska,11733,Platforma Obywatelska,27  Bielsko-Biała,poseł VII kadencji,,,"Krakowska Szkoła Wyższa, Wydział Prawa i Administracji, Administracja - magister (2006)",25-10-2015,,wyższe,ekonomista,Małgorzata Pępek
297,01-01-1960,,Klub Parlamentarny Platforma Obywatelska,5959,Platforma Obywatelska,3  Wrocław,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (1986)",25-10-2015,,wyższe,radca prawny,Sławomir Jan Piechota
298,08-05-1947,,Klub Parlamentarny Platforma Obywatelska,11222,Platforma Obywatelska,31  Katowice,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Śląski, Wydział Filologia Polska, Filologia polska - magister (1980)",25-10-2015,,wyższe,nauczyciel,Danuta Pietraszewska
299,09-05-1971,,Klub Parlamentarny Prawo i Sprawiedliwość,18907,Prawo i Sprawiedliwość,27  Bielsko-Biała,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i Administracji, Prawo - magister (2003)",25-10-2015,,wyższe,parlamentarzysta,Stanisław Pięta
300,17-12-1964,,Klub Parlamentarny Prawo i Sprawiedliwość,28378,Prawo i Sprawiedliwość,24  Białystok,poseł VII kadencji,,,"Filia Uniwersytetu Warszawskiego w Białymstoku, Wydział Humanistyczny, Historia - magister (1988)",25-10-2015,,wyższe,poseł na Sejm RP,Dariusz Piontkowski
301,19-07-1952,,Klub Parlamentarny Prawo i Sprawiedliwość,15747,Prawo i Sprawiedliwość,22  Krosno,"senator VI kadencji, senator VII kadencji, poseł VII kadencji",,,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i Administracji, Prawo - magister (1976)",25-10-2015,,wyższe,prokurator,Stanisław Piotrowicz
302,05-02-1955,,Klub Parlamentarny Platforma Obywatelska,18678,Platforma Obywatelska,4  Bydgoszcz,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Teologii Katolickiej, Wydział Teologiczny, Historia - magister (1980)",25-10-2015,,wyższe,historyk,Teresa Piotrowska
303,03-05-1958,,Klub Parlamentarny Platforma Obywatelska,11060,Platforma Obywatelska,26  Gdynia,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Rolniczy, Ekonomia rolnictwa - magister inżynier (1982)",25-10-2015,,wyższe,inżynier rolnik,Kazimierz Plocke
304,24-08-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,18429,Prawo i Sprawiedliwość,31  Katowice,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Śląski, Wydział Prawa, Prawo - magister (1986)",25-10-2015,,wyższe,prawnik,Jerzy Polaczek
305,19-11-1963,,Klub Parlamentarny Prawo i Sprawiedliwość,3345,Prawo i Sprawiedliwość,12  Chrzanów,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,Technikum Mechaniczne - technik (1984),25-10-2015,,średnie zawodowe,technik mechanik,Marek Polak
306,20-01-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,16637,Prawo i Sprawiedliwość,11  Sieradz,"poseł VI kadencji, poseł VII kadencji",,,"Akademia Rolnicza w Poznaniu, Wydział Rolny, Mechanizacja rolnictwa - magister inżynier (1985)",25-10-2015,,wyższe,rolnik,Piotr Polak
307,08-01-1980,,Klub Parlamentarny Platforma Obywatelska,22196,Platforma Obywatelska,25  Gdańsk,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Gdański, Wydział Nauk Politycznych, Politologia - magister (2005)",25-10-2015,,wyższe,politolog,Agnieszka Pomaska
308,17-08-1966,,Koło Poselskie Wolni i Solidarni,10777,Kukiz'15,8  Zielona Góra,brak,,,"Wyższa Szkoła Zawodowa w Gorzowie Wielkopolskim, Administracja Publiczna - licencjat (2004)",25-10-2015,,wyższe,specjalista administracji publicznej,Jarosław Porwich
309,20-07-1984,,Klub Parlamentarny Prawo i Sprawiedliwość,6690,Prawo i Sprawiedliwość,38  Piła,brak,,,"Wyższa Szkoła Stosunków Międzynarodowych i Amerykanistyki w Warszawie, Wydział Dyplomacja i Stosunki Międzynarodowe, Politologia - licencjat (2013)",25-10-2015,,wyższe,politolog,Marcin Porzucek
