,Data i miejsce urodzenia:,Funkcja w Sejmie:,Klub/koło:,Liczba głosów:,Lista:,Okręg wyborczy:,Staż parlamentarny:,Strona WWW:,Tytuł/stopień naukowy:,Ukończona szkoła:,Wybrany dnia:,Wygaśnięcie mandatu:,Wykształcenie:,Zawód:,imie
197,16-02-1974,,Klub Parlamentarny Platforma Obywatelska,7105,Platforma Obywatelska,8  Zielona Góra,brak,,,"Akademia Wychowania Fizycznego, Wydział Wychowanie Fizyczne, Nauczycielski z Menadżerstwem i Zarządzaniem Sportem - magister (2012)",25-10-2015,,wyższe,urzędnik samorządowy,Tomasz Kucharski
198,09-08-1955,Marszałek Sejmu od 12-11-2015,Klub Parlamentarny Prawo i Sprawiedliwość,34558,Prawo i Sprawiedliwość,22  Krosno,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,Pomaturalne Studium Ogrodnictwa - technik (1978),25-10-2015,,średnie policelane/pomaturalne,polityk,Marek Kuchciński
199,24-06-1963,,Klub Poselski Kukiz'15,76675,Kukiz'15,19  Warszawa,brak,,,Liceum Ogólnokształcące w Niemodlinie (1981),25-10-2015,,średnie ogólne,muzyk,Paweł Kukiz
200,12-11-1990,,Klub Poselski Kukiz'15,15058,Kukiz'15,6  Lublin,brak,,,"Politechnika Warszawska, Wydział Elektroniki i Technik Informacyjnych, Elektronika Informatyka i Telekomunikacja - inżynier (2013)",25-10-2015,,wyższe,konsultant ds. systemów informatycznych,Jakub Kulesza
201,25-04-1953,,,7848,Prawo i Sprawiedliwość,16  Płock,brak,,,,25-10-2015,2015-11-04,,wyższy urzędnik państwowy,Józef Kurek
202,05-10-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,5486,Prawo i Sprawiedliwość,8  Zielona Góra,brak,, doktor habilitowany,"Wyższa Szkoła Pedagogiczna, Wydział Pedagogiczny, Pedagogika Opiekuńczo-Wychowawcza - magister (1989)",25-10-2015,,wyższe,nauczyciel akademicki,Jacek Kurzępa
203,30-09-1964,,Klub Parlamentarny Prawo i Sprawiedliwość,7458,Prawo i Sprawiedliwość,17  Radom,brak,,,"Wyższa Szkoła Ubezpieczeń i Bankowości (Warszawa), Wydział Ekonomiki i Organizacji Ochrony Zdrowia, Ekonomia - magister (2003)",25-10-2015,,wyższe,ekonomista,Anna Kwiecień
204,28-04-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,5636,Prawo i Sprawiedliwość,33  Kielce,"poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Pedagogiczna w Kielcach, Wydział Humanistyczny, Historia - magister (1984)",25-10-2015,,wyższe,nauczyciel,Marek Kwitek
205,12-08-1957,,Klub Parlamentarny Platforma Obywatelska,8981,Platforma Obywatelska,26  Gdynia,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Wyższa Szkoła Inżynierska Koszalin, Wydział Mechaniczny, Konstrukcja i Eksploatacja Maszyn Rolniczych - magister inżynier (1984)",25-10-2015,,wyższe,inżynier mechanik,Stanisław Lamczyk
206,24-10-1943,,Klub Parlamentarny Platforma Obywatelska,8285,Platforma Obywatelska,13  Kraków,"poseł III kadencji, poseł VII kadencji",,,"Politechnika Krakowska, Wydział Mechaniczny, Samochody i Ciągniki - magister inżynier (1968)",25-10-2015,,wyższe,poseł,Józef Lassota
207,08-03-1964,,Klub Parlamentarny Prawo i Sprawiedliwość,40288,Prawo i Sprawiedliwość,4  Bydgoszcz,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Medyczna w Poznaniu, Wydział Lekarski - lekarz (1989)",25-10-2015,,wyższe,lekarz,Tomasz Latos
208,28-11-1964,,Klub Parlamentarny Prawo i Sprawiedliwość,5369,Prawo i Sprawiedliwość,33  Kielce,brak,,,Liceum Ogólnokształcące dla Dorosłych (2007),25-10-2015,,średnie ogólne,kierowca autobusu,Bogdan Latosiński
209,12-12-1960,,Klub Parlamentarny Platforma Obywatelska,17823,Platforma Obywatelska,30  Rybnik,brak,,,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1998)",25-10-2015,,wyższe,wyższy urzędnik państwowy,Gabriela Lenartowicz
210,08-12-1968,,Klub Parlamentarny Platforma Obywatelska,21323,Platforma Obywatelska,5  Toruń,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Nauk Historycznych, Historia i Archiwistyka - magister (2011)",25-10-2015,,wyższe,poseł zawodowy,Tomasz Lenz
211,03-09-1962,,Klub Parlamentarny Platforma Obywatelska,19160,Platforma Obywatelska,28  Częstochowa,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Jagielloński Kraków, Wydział Filologiczny - magister (1989)",25-10-2015,,wyższe,nauczyciel,Izabela Leszczyna
212,06-03-1968,,Klub Parlamentarny Prawo i Sprawiedliwość,16167,Prawo i Sprawiedliwość,14  Nowy Sącz,brak,,,"Universite Nancy 2, Langues Vivantes Etrangeres - licencjat (1992)",25-10-2015,,wyższe,politolog,Józef Leśniak
213,21-11-1969,,Klub Parlamentarny Prawo i Sprawiedliwość,24122,Prawo i Sprawiedliwość,36  Kalisz,brak,,,"Uniwersytet Warszawski, Wydział Filologia - magister (1993)",25-10-2015,,wyższe,dziennikarz,Joanna Lichocka
214,15-01-1968,,Klub Poselski Nowoczesna,23220,Nowoczesna Ryszarda Petru,25  Gdańsk,brak,,,"Bałtycka Wyższa Szkoła Humanistyczna w Koszalinie, Wydział Zarządzanie i Marketing, Zarządzanie Finansami - licencjat (1999)",25-10-2015,,wyższe,ekonomistka,Ewa Lieder
215,11-10-1959,,Klub Parlamentarny Prawo i Sprawiedliwość,16450,Prawo i Sprawiedliwość,33  Kielce,"senator IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Pedagogiczna w Kielcach, Wydział Matematyczno-Przyrodniczy, Fizyka - magister (1985)",25-10-2015,,wyższe,nauczyciel,Krzysztof Lipiec
216,11-09-1956,,Klub Parlamentarny Prawo i Sprawiedliwość,26199,Prawo i Sprawiedliwość,1  Legnica,"poseł I kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Ekonomiczna we Wrocławiu, Wydział Gospodarki Narodowej - magister (1979)",25-10-2015,,wyższe,ekonomista,Adam Lipiński
217,12-07-1971,,Poseł niezrzeszony,22614,Kukiz'15,33  Kielce,brak,,,"Technikum Budowlane, Budownictwo Ogólne (1992)",25-10-2015,,średnie zawodowe,muzyk,Piotr Liroy-Marzec
218,15-08-1978,,Klub Parlamentarny Prawo i Sprawiedliwość,6865,Prawo i Sprawiedliwość,19  Warszawa,brak,,,"Uniwersytet Warszawski, Wydział Historyczny, Archeologia - magister (2004)",25-10-2015,,wyższe,historyk,Paweł Lisiecki
219,18-07-1978,,Klub Poselski Nowoczesna,6236,Nowoczesna Ryszarda Petru,40  Koszalin,brak,,,"Akademia Medyczna w Warszawie, Wydział Lekarski, Stomatologia - lekarz dentysta (2004)",25-10-2015,,wyższe,stomatolog,Radosław Lubczyk
220,24-07-1969,,Klub Poselski Nowoczesna,18549,Nowoczesna Ryszarda Petru,9  Łódź,brak,, doktor,"Uniwersytet Łódzki, Wydział Matematyki, Matematyka - magister (1993)",25-10-2015,,wyższe,nauczyciel akademicki,Katarzyna Lubnauer
221,Klub Parlamentarny Prawo i Sprawiedliwość,,brak,8114,Prawo i Sprawiedliwość,38  Piła,Powołany na stanowisko sekretarza stanu w Kancelarii Prezydenta Rzeczypospolitej,,,wyższe,25-10-2015,2017-05-11,26-06-1978,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Nauki Polityczne - magister (2004)",Krzysztof Łapiński
222,03-08-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,8669,Prawo i Sprawiedliwość,36  Kalisz,brak,,,"Uniwersytet Wrocławski, Wydział Filozoficzno-Historyczny, Historia - magister (1985)",25-10-2015,,wyższe,historyk,Tomasz Ławniczak
223,16-08-1954,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,7750,Polskie Stronnictwo Ludowe,6  Lublin,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Rolnicza w Lublinie, Wydział Techniki Rolniczej - magister inżynier (1980)",25-10-2015,,wyższe,parlamentarzysta,Jan Łopata
224,29-08-1960,,Klub Parlamentarny Prawo i Sprawiedliwość,14608,Prawo i Sprawiedliwość,1  Legnica,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Wrocławski, Wydział Filologii polskiej, Specjalność nauczycielska - magister (1992)",25-10-2015,,wyższe,parlamentarzysta,Marzena Machałek
225,24-10-1969,,Klub Poselski Kukiz'15,7899,Kukiz'15,35  Olsztyn,brak,,,"Wyższa Szkoła Pedagogiczna w Olsztynie, Wydział Humanistyczny, Politologia i nauki społeczne - magister (1995)",25-10-2015,,wyższe,politolog,Andrzej Maciejewski
226,17-04-1953,,Klub Parlamentarny Prawo i Sprawiedliwość,6818,Prawo i Sprawiedliwość,10  Piotrków Trybunalski,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Częstochowska, Wydział Mechaniczny, Budowa maszyn - magister inżynier (1977)",25-10-2015,,wyższe,"przedsiębiorca prywatny, inżynier mechanik",Krzysztof Maciejewski
227,03-08-1948,,Klub Parlamentarny Prawo i Sprawiedliwość,33960,Prawo i Sprawiedliwość,10  Piotrków Trybunalski,"poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Histortyczny, Historia - magister (1971)",25-10-2015,,wyższe,historyk,Antoni Macierewicz
228,11-01-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,28909,Prawo i Sprawiedliwość,32  Sosnowiec,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Śląska, Wydział Metalurgiczny, Hutnictwo, metalurgia metali nieżelaznych - magister inżynier (1986)",25-10-2015,,wyższe,poseł na Sejm RP,Ewa Malik
229,28-02-1968,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,7959,Polskie Stronnictwo Ludowe,17  Radom,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Ekonomiczno - Rolniczy, Ekonomika rolnictwa - magister inżynier (1996)",25-10-2015,,wyższe,rolnik - ogrodnik,Mirosław Maliszewski
230,17-05-1954,,Klub Parlamentarny Platforma Obywatelska,23429,Platforma Obywatelska,32  Sosnowiec,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Śląska Akademia Medyczna, Wydział Lekarski - lekarz (1979)",25-10-2015,,wyższe,lekarz/parlamentarzysta,Beata Małecka-Libera
231,23-04-1972,,Klub Parlamentarny Prawo i Sprawiedliwość,5513,Prawo i Sprawiedliwość,35  Olsztyn,brak,,,"Uczelnia Jańskiego w Łomży, Zarządzanie, Zarządzanie firmą - licencjat (2016)",25-10-2015,,wyższe,bankowiec,Jerzy Małecki
232,09-10-1974,,Klub Parlamentarny Prawo i Sprawiedliwość,18671,Prawo i Sprawiedliwość,16  Płock,poseł VII kadencji,,,"Katolicki Uniwersytet Lubelski Jana Pawła II, Studium samorządowe (1996) - studia podyplomowe",25-10-2015,,wyższe,historyk,Maciej Małecki
233,18-01-1986,,Klub Parlamentarny Platforma Obywatelska,7147,Platforma Obywatelska,41  Szczecin,brak,, doktor,"Zachodniopomorski Uniwersytet Technologiczny, Wydział Ekonomiczny, Zarządzanie i marketing - licencjat (2009)",25-10-2015,,wyższe,ekonomista,Arkadiusz Marchewka
234,27-06-1950,,Klub Parlamentarny Prawo i Sprawiedliwość,23287,Prawo i Sprawiedliwość,6  Lublin,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Ekonomiczny, Ekonomika rolnictwa - magister (1974)",25-10-2015,,wyższe,ekonomista,Gabriela Masłowska
235,21-07-1984,,Klub Poselski Kukiz'15,15303,Kukiz'15,23  Rzeszów,brak,,,"Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie, Wydział Administracyjno-Informatyczny, Informatyka i ekonometria - magister (2010)",25-10-2015,,wyższe,nauczyciel akademicki,Maciej Masłowski
236,25-03-1956,,Klub Parlamentarny Prawo i Sprawiedliwość,15089,Prawo i Sprawiedliwość,8  Zielona Góra,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Inżynierska, Wydział Budownictwo, Technologia i organizacja - magister inżynier (1983)",25-10-2015,,wyższe,parlamentarzysta,Jerzy Materna
237,23-04-1963,,Klub Parlamentarny Prawo i Sprawiedliwość,12059,Prawo i Sprawiedliwość,11  Sieradz,brak,,,Liceum Ogólnokształcące im. T. Kościuszki (1982),25-10-2015,,średnie ogólne,pracownik samorządowy,Beata Mateusiak-Pielucha
238,24-02-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,17227,Prawo i Sprawiedliwość,30  Rybnik,poseł VII kadencji,,,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Elektromechaniki, Automatyki i Elektroniki, Elektrotechnika - inżynier (2001)",25-10-2015,,wyższe,inżynier energetyki,Grzegorz Matusiak
239,22-06-1952,,Klub Parlamentarny Prawo i Sprawiedliwość,9970,Prawo i Sprawiedliwość,22  Krosno,senator VIII kadencji,,,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (1976)",25-10-2015,,wyższe,adwokat,Andrzej Matusiewicz
240,14-08-1959,,Klub Parlamentarny Prawo i Sprawiedliwość,13880,Prawo i Sprawiedliwość,11  Sieradz,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,Technikum Samochodowe w Łodzi - technik (1988),25-10-2015,,średnie zawodowe,parlamentarzysta,Marek Matuszewski
241,04-03-1960,,Klub Parlamentarny Prawo i Sprawiedliwość,9345,Prawo i Sprawiedliwość,27  Bielsko-Biała,"poseł V kadencji, poseł VI kadencji",,,"Politechnika Śląska, Wydział Automatyki i Elektroniki, Elektronika - magister (1985)",25-10-2015,,wyższe,przedstawiciel władz samorządowych - radny sejmiku,Kazimierz Matuszny
242,19-10-1967,Wicemarszałek Sejmu od 11-01-2018,Klub Parlamentarny Prawo i Sprawiedliwość,30365,Prawo i Sprawiedliwość,7  Chełm,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Nauk Społecznych, Socjologia - magister (1991)",25-10-2015,,wyższe,socjolog,Beata Mazurek
243,01-10-1958,,Klub Poselski Nowoczesna,26164,Nowoczesna Ryszarda Petru,13  Kraków,brak,,,"Katolicki Uniwersytet Lubelski, Wydział Nauk Humanistycznych, Historia - magister (1989)",25-10-2015,,wyższe,przedsiębiorca,Jerzy Meysztowicz
244,23-08-1954,,Klub Parlamentarny Platforma Obywatelska,9285,Platforma Obywatelska,5  Toruń,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Gdańska, Wydział Elektroniki, Elektronika - magister inżynier (1978)",25-10-2015,,wyższe,inżynier elektronik,Antoni Mężydło
245,22-12-1956,,Klub Parlamentarny Prawo i Sprawiedliwość,11327,Prawo i Sprawiedliwość,23  Rzeszów,brak,,,"Wyższa Szkoła Inżynieryjno-Ekonomiczna, Wydział Rolnictwa, Agrobiznes - inżynier (2008)",25-10-2015,,wyższe,rolnik,Mieczysław Miazga
246,13-03-1956,,Klub Parlamentarny Prawo i Sprawiedliwość,7485,Prawo i Sprawiedliwość,5  Toruń,brak,,,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Biologii i Nauk o Ziemi, Biologia środowiskowa - magister (1981)",25-10-2015,,wyższe,nauczyciel,Iwona Michałek
247,26-09-1953,,Klub Parlamentarny Prawo i Sprawiedliwość,15806,Prawo i Sprawiedliwość,6  Lublin,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Socjologii, Socjologia - magister (2003)",25-10-2015,,wyższe,socjolog,Krzysztof Michałkiewicz
248,19-05-1956,,Klub Poselski Nowoczesna,24525,Nowoczesna Ryszarda Petru,3  Wrocław,brak,,,XIV Liceum Ogólnokształcące (1976),25-10-2015,,średnie ogólne,kulturoznawca,Krzysztof Mieszkowski
249,18-07-1958,,Klub Parlamentarny Prawo i Sprawiedliwość,11562,Prawo i Sprawiedliwość,10  Piotrków Trybunalski,brak,,,"Uniwersytet Opolski, Wydział Filologiczno-Historyczny, Pedagogika kulturalo-oświatowa - magister (1999)",25-10-2015,,wyższe,pedagog,Anna Milczanowska
250,22-11-1989,,Klub Parlamentarny Prawo i Sprawiedliwość,13302,Prawo i Sprawiedliwość,18  Siedlce,brak,,,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2013)",25-10-2015,,wyższe,prawnik,Daniel Milewski
251,16-07-1954,,Klub Parlamentarny Platforma Obywatelska,8565,Platforma Obywatelska,21  Opole,poseł VII kadencji,,,"Akademia Medyczna w Łodzi, Wydział Lekarski - lekarz (1978)",25-10-2015,,wyższe,lekarz medycyny,Rajmund Miller
252,11-06-1974,,Klub Poselski Nowoczesna,13871,Nowoczesna Ryszarda Petru,41  Szczecin,brak,http://www.poseł.misiło.pl/,,"Uniwersytet Szczeciński, Wydział Zarządzania i Ekonomiki Usług, Zarządzanie finansami w podmiotach gospodarczych - magister (2002)",25-10-2015,,wyższe,ekonomista,Piotr Misiło
253,25-05-1958,,Klub Parlamentarny Platforma Obywatelska,5189,Platforma Obywatelska,3  Wrocław,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Wrocławska, Wydział Architektury, Architektura - magister inżynier (1982)",25-10-2015,,wyższe,parlamentarzysta,Aldona Młyńczak
254,03-05-1941,,Koło Poselskie Wolni i Solidarni,26101,Kukiz'15,3  Wrocław,brak,, doktor,"Uniwersytet Wrocławski, Wydział Matematyczno-Fizyczno-Chemiczny, Fizyka - magister (1963)",25-10-2015,,wyższe,fizyk,Kornel Morawiecki
255,23-05-1964,,Klub Poselski Kukiz'15,7781,Kukiz'15,17  Radom,brak,,,"Politechnika Łódzka, Wydział Budownictwa, Architektury i Inżynierii Środowiska, Architektura i urbanistyka - magister inżynier architekt (2007)",25-10-2015,,wyższe,architekt urbanista,Robert Mordak
256,19-12-1956,,Klub Parlamentarny Prawo i Sprawiedliwość,7247,Prawo i Sprawiedliwość,36  Kalisz,brak,, doktor,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Administracja europejska - magister (2005)",25-10-2015,,wyższe,politolog,Jan Mosiński
257,02-02-1962,,Klub Parlamentarny Prawo i Sprawiedliwość,24128,Prawo i Sprawiedliwość,23  Rzeszów,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Pedagogiczny, Wydział Humanistyczny, Historia - magister (1988)",25-10-2015,,wyższe,nauczyciel,Kazimierz Moskal
258,20-03-1975,,Klub Parlamentarny Prawo i Sprawiedliwość,18776,Polskie Stronnictwo Ludowe,36  Kalisz,senator VIII kadencji,,,"Instytut Biznesu W Kaliszu, Przygotowania i zarządzania projektami Unii Europejskiej (2003) - studia podyplomowe",25-10-2015,,wyższe,ekonomista,Andżelika Możdżanowska
259,20-07-1964,,Klub Parlamentarny Platforma Obywatelska,11901,Platforma Obywatelska,18  Siedlce,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Warszawska, Wydział Elektryczny, Elektrotechnika - magister inżynier (1990)",25-10-2015,,wyższe,prawnik,Czesław Mroczek
260,09-12-1953,,Klub Parlamentarny Prawo i Sprawiedliwość,5835,Prawo i Sprawiedliwość,26  Gdynia,brak,,,"Uniwersytet Gdański, Wydział Matematyczno-Fizyczny, Matematyka - magister (1977)",25-10-2015,,wyższe,nauczyciel matematyki,Aleksander Mrówczyński
261,20-05-1959,,Klub Parlamentarny Platforma Obywatelska,8659,Platforma Obywatelska,2  Wałbrzych,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Ekonomiczna we Wrocławiu, Wydział Zarządzania i Informatyki, Organizacja i zarządzanie - magister (1982)",25-10-2015,,wyższe,ekonomista,Izabela Katarzyna Mrzygłocka
262,12-04-1976,,Klub Parlamentarny Platforma Obywatelska,43459,Platforma Obywatelska,6  Lublin,"poseł VI kadencji, poseł VII kadencji",, doktor,"Uniwersytet Warszawski, Wydział Zarządzania, Zarządzanie przedsiębiorstwem - magister (2001)",25-10-2015,,wyższe,nauczyciel akademicki,Joanna Mucha
263,04-02-1971,,Klub Parlamentarny Prawo i Sprawiedliwość,36903,Prawo i Sprawiedliwość,14  Nowy Sącz,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa, Prawo - magister (1995)",25-10-2015,,wyższe,adwokat,Arkadiusz Mularczyk
