,PiS,PO,Kukiz15,N,PSL-UED,WiS,niez.,Republikanie,posel,najblizsza_partia,partia_ostatnio
377,0.71967423468,0.267670170636,0.529750777422,0.183315690384,0.99980735889,0.780247864894,0.579419125899,0.908559686637,ST?PIE? EL?BIETA,N,N
378,0.711722343754,0.243599107221,0.519614739352,0.151859538008,0.99980735889,0.780003852822,0.572184917118,0.910550311436,SUCHO? MIROS?AW,N,N
379,0.0636443103686,0.708311536934,0.568621803233,0.731056053252,0.99980735889,0.353384062159,0.440275904878,0.916971681757,SUSKI MAREK,PiS,PiS
380,0.694289922708,0.11154358787,0.506723138521,0.267086532976,0.999711038336,0.765754832081,0.550292095905,0.906858023502,SUSKI PAWE?,PO,PO
381,0.108456150083,0.709402873474,0.581421479123,0.730252273864,0.99980735889,0.379991010082,0.459909932637,0.922494060232,SZARAMA WOJCIECH,PiS,PiS
382,0.0503113867137,0.700617217877,0.55980752891,0.727219490045,0.99980735889,0.337786553651,0.430910489156,0.91703589546,SZA?ABAWKA ARTUR,PiS,PiS
383,0.696953495666,0.124132748994,0.514236308688,0.278447293687,0.99980735889,0.771033198485,0.555793069813,0.907853335902,SZCZERBA MICHA?,PO,PO
384,0.069463652617,0.705471400651,0.564782600619,0.729388201964,0.99980735889,0.356954344057,0.440486434091,0.91864123804,SZCZUREK-?ELAZKO JÓZEFA,PiS,PiS
385,0.130639382407,0.725328171188,0.594047871602,0.746026783783,0.99980735889,0.417090477108,0.479909825614,0.91883387915,SZCZYPI?SKA JOLANTA,PiS,PiS
386,0.0852716270583,0.717037199318,0.579403759606,0.741493096794,0.99980735889,0.366169010467,0.451331211223,0.917742246195,SZEFERNAKER PAWE?,PiS,PiS
387,0.0813964670483,0.722318305369,0.578401917826,0.749801388018,0.99980735889,0.366650613241,0.459125531674,0.917164322867,SZEWCZAK JAN,PiS,PiS
388,0.0516252637553,0.702218785033,0.559362293042,0.728243005623,0.99980735889,0.337080202915,0.430224702094,0.916522185834,SZLACHETKA JAROS?AW,PiS,PiS
389,0.0691845569321,0.707117438668,0.558942216621,0.730438448793,0.99980735889,0.350244012072,0.43733254748,0.920503435433,SZLACHTA ANDRZEJ,PiS,PiS
390,0.52425606591,0.499583540772,0.231173346728,0.529072341451,0.99980735889,0.635767032685,0.505985175808,0.898349707828,SZRAMKA PAWE?,Kukiz15,Kukiz15
391,0.0455570365424,0.702413308809,0.556930895166,0.727870029052,0.99980735889,0.334896937006,0.427970189553,0.91722853657,SZULOWSKI KRZYSZTOF,PiS,PiS
392,0.708920378906,0.153595516147,0.527944448084,0.308335895539,0.99980735889,0.774571373531,0.570809214972,0.915558980286,SZUMILAS KRYSTYNA,PO,PO
393,0.0446552094091,0.700793894234,0.558112451202,0.727009442134,0.99980735889,0.333997945161,0.428157326631,0.916971681757,SZWED STANIS?AW,PiS,PiS
394,0.0557115054701,0.703615458167,0.561608195252,0.730758736139,0.99980735889,0.344496885635,0.434636795063,0.91722853657,SZYDE?KO HALINA,PiS,PiS
