voting,date,time,amendment
glos_102_31,09-10-2015,09:38:36,False
glos_102_32,09-10-2015,09:39:06,False
glos_102_33,09-10-2015,09:39:44,False
glos_102_34,09-10-2015,09:40:48,True
glos_102_35,09-10-2015,09:41:26,True
glos_102_36,09-10-2015,09:42:01,True
glos_102_37,09-10-2015,09:43:15,False
glos_102_38,09-10-2015,09:43:52,False
glos_102_39,09-10-2015,09:44:22,False
glos_102_4,08-10-2015,19:04:11,False
glos_102_40,09-10-2015,09:44:59,False
glos_102_41,09-10-2015,09:45:30,False
glos_102_42,09-10-2015,09:45:59,False
glos_102_43,09-10-2015,09:46:28,False
glos_102_44,09-10-2015,09:46:59,False
glos_102_45,09-10-2015,09:47:57,False
glos_102_46,09-10-2015,09:48:26,False
glos_102_47,09-10-2015,09:48:57,False
glos_102_48,09-10-2015,09:49:26,False
glos_102_49,09-10-2015,09:50:02,False
glos_102_5,08-10-2015,19:04:46,False
glos_102_50,09-10-2015,09:50:48,False
glos_102_51,09-10-2015,09:51:18,False
glos_102_52,09-10-2015,09:51:49,False
glos_102_53,09-10-2015,09:56:40,False
glos_102_54,09-10-2015,10:01:14,False
glos_102_55,09-10-2015,10:01:52,False
glos_102_56,09-10-2015,10:02:30,False
glos_102_57,09-10-2015,10:03:06,False
glos_102_58,09-10-2015,10:03:51,False
glos_102_59,09-10-2015,10:04:29,False
glos_102_6,08-10-2015,19:05:21,False
glos_102_60,09-10-2015,10:05:05,False
glos_102_61,09-10-2015,10:05:38,False
glos_102_62,09-10-2015,10:06:06,False
glos_102_63,09-10-2015,10:06:36,False
glos_102_64,09-10-2015,10:08:23,False
glos_102_65,09-10-2015,10:09:00,False
glos_102_66,09-10-2015,10:10:19,False
glos_102_67,09-10-2015,10:11:14,False
glos_102_68,09-10-2015,10:13:50,False
glos_102_69,09-10-2015,10:14:22,False
glos_102_7,08-10-2015,19:05:57,False
glos_102_70,09-10-2015,10:17:36,False
glos_102_71,09-10-2015,10:18:46,False
glos_102_72,09-10-2015,10:19:18,False
